29,Dometic Group,DOM,SEK,SE0007691613,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0007691613&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,DOM.ST
30,Elekta B,EKTA B,SEK,SE0000163628,Health Care,2010,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000163628&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EKTA-B.ST
31,Electrolux A,ELUX A,SEK,SE0000103806,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000103806&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ELUX-A.ST
32,Electrolux B,ELUX B,SEK,SE0000103814,Consumer Products and Services,4020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000103814&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ELUX-B.ST
33,Epiroc A,EPI A,SEK,SE0011166933,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011166933&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EPI-A.ST
34,Epiroc B,EPI B,SEK,SE0011166941,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0011166941&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EPI-B.ST
35,Electrolux Professional B,EPRO B,SEK,SE0013747870,Industrial Goods and Services,5020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0013747870&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EPRO-B.ST
36,EQT,EQT,SEK,SE0012853455,Financial Services,3020,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0012853455&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,EQT.ST
37,Ericsson A,ERIC A,SEK,SE0000108649,Telecommunications,1510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000108649&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ERIC-A.ST
38,Ericsson B,ERIC B,SEK,SE0000108656,Telecommunications,1510,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0000108656&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ERIC-B.ST
39,Essity A,ESSITY A,SEK,SE0009922156,"Personal Care, Drug and Grocery Stores",4520,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0009922156&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ESSITY-A.ST
40,Essity B,ESSITY B,SEK,SE0009922164,"Personal Care, Drug and Grocery Stores",4520,http://lt.morningstar.com/gj8uge2g9k/stockprofile/default.aspx?externalid=SE0009922164&externalidexchange=EX$$$$XSTO&externalidtype=ISIN&LanguageId=en-GB&CurrencyId=SEK&BaseCurrencyId=SEK,ESSITY-B.ST
